Name,Postal Code,FIPS,"Resident Population, July 1, 2019 (source: Census)","GDP, Millions of current dollars (https://apps.bea.gov/iTable/iTable.cfm?reqid=99&step=1#reqid=99&step=1&isuri=1)"
Alabama,AL,1,4903185,230968.2
Alaska,AK,2,731545,55406.1
Arizona,AZ,4,7278717,366189.9
Arkansas,AR,5,3017804,133180.9
California,CA,6,39512223,3137469.0
Colorado,CO,8,5758736,390283.9
Connecticut,CT,9,3565287,285640.4
Delaware,DE,10,973764,75415.5
District of Columbia,DC,11,705749,146194.3
Florida,FL,12,21477737,1093350.7
Georgia,GA,13,10617423,616333.3
Hawaii,HI,15,1415872,97281.7
Idaho,ID,16,1787065,80911.0
Illinois,IL,17,12671821,897123.5
Indiana,IN,18,6732219,377104.3
Iowa,IA,19,3155070,194788.7
Kansas,KS,20,2913314,173142.5
Kentucky,KY,21,4467673,214671.2
Louisiana,LA,22,4648794,263856.8
Maine,ME,23,1344212,67518.6
Maryland,MD,24,6045680,428338.6
Massachusetts,MA,25,6892503,595558.7
Michigan,MI,26,9986857,541550.6
Minnesota,MN,27,5639632,380854.9
Mississippi,MS,28,2976149,118779.9
Missouri,MO,29,6137428,332082.1
Montana,MT,30,1068778,52169.1
Nebraska,NE,31,1934408,127036.5
Nevada,NV,32,3080156,177614.6
New Hampshire,NH,33,1359711,88595.0
New Jersey,NJ,34,8882190,644841.4
New Mexico,NM,35,2096829,104001.5
New York,NY,36,19453561,1731910.4
North Carolina,NC,37,10488084,587711.0
North Dakota,ND,38,762062,57036.8
Ohio,OH,39,11689100,698458.2
Oklahoma,OK,40,3956971,206058.1
Oregon,OR,41,4217737,251604.5
Pennsylvania,PA,42,12801989,813513.6
Rhode Island,RI,44,1059361,63541.1
South Carolina,SC,45,5148714,246308.9
South Dakota,SD,46,884659,53305.7
Tennessee,TN,47,6829174,380137.9
Texas,TX,48,28995881,1886956.1
Utah,UT,49,3205958,188501.4
Vermont,VT,50,623989,34785.1
Virginia,VA,51,8535519,554211.0
Washington,WA,53,7614893,599607.7
West Virginia,WV,54,1792147,78189.5
Wisconsin,WI,55,5822434,347306.1
Wyoming,WY,56,578759,39646.2
American Samoa,AS,60,,
Guam,GU,66,,
Northern Mariana Islands,MP,69,,
Puerto Rico,PR,72,3193694,
Virgin Islands,VI,78,,